,Location Finding,File Sharing,Report Syncing,Chat Protocol,Map Access,Hardware Platform,Connectivity,Database,Architectural Pattern,Data Exchange Format,ENB,Risk,Optimal
19,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Push-based,XML,12.757011289363772,1.0,No
20,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Push-based,Compressed XML,12.84080055121222,1.0,No
21,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Push-based,Unformatted data,12.683077928735818,1.0,No
22,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Peer-to-peer,XML,12.413733690390249,1.0,No
23,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Peer-to-peer,Compressed XML,12.497522952238738,1.0,No
24,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Peer-to-peer,Unformatted data,12.339800329762285,1.0,No
25,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Client-Server,XML,13.082593993731345,1.0,No
26,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Client-Server,Compressed XML,13.16638325557975,1.0,No
27,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Client-Server,Unformatted data,13.008660633103425,1.0,No
28,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Push-based,XML,12.624457713994241,1.0,No
29,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Push-based,Compressed XML,12.708246975842702,1.0,No
30,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Push-based,Unformatted data,12.550524353366258,1.0,No
31,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,XML,12.32659598154672,1.0,No
32,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,12.410385243395183,1.0,No
33,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,Unformatted data,12.252662620918786,1.0,No
34,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,XML,12.995456284887828,1.0,No
35,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,Compressed XML,13.079245546736233,1.0,No
36,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,Unformatted data,12.921522924259849,1.0,No
37,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Push-based,XML,12.537320005150708,1.0,No
38,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Push-based,Compressed XML,12.621109266999126,1.0,No
39,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Push-based,Unformatted data,12.463386644522817,1.0,No
40,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,XML,12.194042406177202,1.0,No
41,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,Compressed XML,12.277831668025565,1.0,No
42,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,Unformatted data,12.120109045549219,1.0,No
43,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Client-Server,XML,12.862902709518321,1.0,No
44,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Client-Server,Compressed XML,12.946691971366715,1.0,No
45,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Client-Server,Unformatted data,12.78896934889031,1.0,No
46,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Push-based,XML,12.404766429781162,1.0,No
47,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Push-based,Compressed XML,12.48855569162956,1.0,No
48,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,sqLite,Push-based,Unformatted data,12.330833069153199,1.0,No
49,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Peer-to-peer,XML,12.500049027402433,1.0,No
50,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Peer-to-peer,Compressed XML,12.583838289250949,1.0,No
51,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Peer-to-peer,Unformatted data,12.426115666774441,1.0,No
52,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Client-Server,XML,13.168909330743537,1.0,No
53,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Client-Server,Compressed XML,13.25269859259196,1.0,No
54,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Client-Server,Unformatted data,13.094975970115573,1.0,No
55,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Push-based,XML,12.710773051006392,1.0,No
56,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Push-based,Compressed XML,12.794562312854886,1.0,No
57,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Push-based,Unformatted data,12.636839690378368,1.0,No
58,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Peer-to-peer,XML,12.367495452032882,1.0,No
59,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Peer-to-peer,Compressed XML,12.451284713881337,1.0,No
60,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Peer-to-peer,Unformatted data,12.293562091404935,1.0,No
61,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Client-Server,XML,13.036355755373956,1.0,No
62,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Client-Server,Compressed XML,13.120145017222455,1.0,No
63,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Client-Server,Unformatted data,12.96242239474607,1.0,No
64,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Push-based,XML,12.578219475636908,1.0,No
65,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Push-based,Compressed XML,12.662008737485321,1.0,No
66,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,sqLite,Push-based,Unformatted data,12.50428611500886,1.0,No
67,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Peer-to-peer,XML,12.42832147166498,1.0,No
68,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Peer-to-peer,Compressed XML,12.512110733513419,1.0,No
69,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Peer-to-peer,Unformatted data,12.354388111037016,1.0,No
70,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Client-Server,XML,13.097181775006032,1.0,No
71,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Client-Server,Compressed XML,13.180971036854544,1.0,No
72,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Client-Server,Unformatted data,13.02324841437813,1.0,No
73,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Push-based,XML,12.63904549526903,1.0,No
74,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Push-based,Compressed XML,12.722834757117443,1.0,No
75,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Push-based,Unformatted data,12.565112134641033,1.0,No
76,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,XML,12.295767896295418,1.0,No
77,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,Compressed XML,12.379557158143891,1.0,No
78,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,Unformatted data,12.221834535667494,1.0,No
79,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Client-Server,XML,12.964628199636499,1.0,No
80,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Client-Server,Compressed XML,13.048417461485016,1.0,No
81,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Client-Server,Unformatted data,12.890694839008535,1.0,No
82,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Push-based,XML,12.506491919899462,1.0,No
83,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Push-based,Compressed XML,12.590281181747862,1.0,No
84,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Push-based,Unformatted data,12.432558559271456,1.0,No
85,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Peer-to-peer,XML,12.751512048413153,1.0,No
86,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Peer-to-peer,Compressed XML,12.835301310261643,1.0,No
87,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Peer-to-peer,Unformatted data,12.677578687785179,1.0,No
88,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Client-Server,XML,13.42037235175434,1.0,No
89,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Client-Server,Compressed XML,13.504161613602715,1.0,No
90,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Client-Server,Unformatted data,13.34643899112627,1.0,No
91,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Push-based,XML,12.962236072017143,1.0,No
92,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Push-based,Compressed XML,13.046025333865602,1.0,No
93,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Push-based,Unformatted data,12.888302711389233,1.0,No
94,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Peer-to-peer,XML,12.61895847304364,1.0,No
95,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Peer-to-peer,Compressed XML,12.702747734892137,1.0,No
96,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Peer-to-peer,Unformatted data,12.54502511241562,1.0,No
97,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Client-Server,XML,13.287818776384727,1.0,No
98,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Client-Server,Compressed XML,13.371608038233203,1.0,No
99,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Client-Server,Unformatted data,13.213885415756726,1.0,No
100,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Push-based,XML,12.829682496647562,1.0,No
101,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Push-based,Compressed XML,12.913471758496032,1.0,No
102,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,sqLite,Push-based,Unformatted data,12.755749136019594,1.0,No
103,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,XML,12.531820764200132,1.0,No
104,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,12.615610026048575,1.0,No
105,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,Unformatted data,12.4578874035722,1.0,No
106,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Client-Server,XML,13.2006810675412,1.0,No
107,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Client-Server,Compressed XML,13.284470329389613,1.0,No
108,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Client-Server,Unformatted data,13.126747706913235,1.0,No
109,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Push-based,XML,12.742544787804087,1.0,No
110,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Push-based,Compressed XML,12.826334049652612,1.0,No
111,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Push-based,Unformatted data,12.668611427176126,1.0,No
112,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Peer-to-peer,XML,12.39926718883053,1.0,No
113,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Peer-to-peer,Compressed XML,12.483056450678985,1.0,No
114,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Peer-to-peer,Unformatted data,12.325333828202545,1.0,No
115,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Client-Server,XML,13.06812749217169,1.0,No
116,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Client-Server,Compressed XML,13.151916754020107,1.0,No
117,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Client-Server,Unformatted data,12.9941941315437,1.0,No
118,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Push-based,XML,12.609991212434569,1.0,No
119,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Push-based,Compressed XML,12.693780474282972,1.0,No
120,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Push-based,Unformatted data,12.536057851806634,1.0,No
121,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,XML,12.705273810055834,1.0,No
122,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,Compressed XML,12.78906307190433,1.0,No
123,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,Unformatted data,12.631340449427778,1.0,No
124,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Client-Server,XML,13.374134113396945,1.0,No
125,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Client-Server,Compressed XML,13.457923375245375,1.0,No
126,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Client-Server,Unformatted data,13.300200752768971,1.0,No
127,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Push-based,XML,12.915997833659787,1.0,No
128,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Push-based,Compressed XML,12.999787095508228,1.0,No
129,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Push-based,Unformatted data,12.842064473031897,1.0,No
130,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,XML,12.572720234686225,1.0,No
131,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Compressed XML,12.656509496534696,1.0,No
132,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Unformatted data,12.498786874058359,1.0,No
133,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Client-Server,XML,13.241580538027335,1.0,No
134,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Client-Server,Compressed XML,13.325369799875826,1.0,No
135,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Client-Server,Unformatted data,13.167647177399319,1.0,No
136,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Push-based,XML,12.783444258290295,1.0,No
137,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Push-based,Compressed XML,12.867233520138635,1.0,No
138,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Push-based,Unformatted data,12.709510897662282,1.0,No
139,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Peer-to-peer,XML,12.633546254318345,1.0,No
140,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Peer-to-peer,Compressed XML,12.717335516166811,1.0,No
141,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Peer-to-peer,Unformatted data,12.559612893690423,1.0,No
142,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Client-Server,XML,13.302406557659461,1.0,No
143,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Client-Server,Compressed XML,13.386195819507874,1.0,No
144,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Client-Server,Unformatted data,13.228473197031539,1.0,No
145,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Push-based,XML,12.844270277922371,1.0,No
146,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Push-based,Compressed XML,12.928059539770782,1.0,No
147,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Push-based,Unformatted data,12.77033691729437,1.0,No
148,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,XML,12.500992678948743,1.0,No
149,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,Compressed XML,12.584781940797278,1.0,No
150,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,Unformatted data,12.42705931832092,1.0,No
151,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Client-Server,XML,13.169852982289978,1.0,No
152,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Client-Server,Compressed XML,13.253642244138325,1.0,No
153,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Client-Server,Unformatted data,13.095919621661935,1.0,No
154,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Push-based,XML,12.711716702552746,1.0,No
155,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Push-based,Compressed XML,12.795505964401235,1.0,No
156,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Push-based,Unformatted data,12.637783341924795,1.0,No
157,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Wifi,MySQL,Peer-to-peer,XML,13.694508559808213,1.0,No
158,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Wifi,MySQL,Peer-to-peer,Compressed XML,13.778297821656711,1.0,No
159,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Wifi,MySQL,Peer-to-peer,Unformatted data,13.620575199180353,1.0,No
160,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Wifi,MySQL,Client-Server,XML,14.363368863149386,1.0,No
161,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Wifi,MySQL,Client-Server,Compressed XML,14.447158124997754,1.0,No
162,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Wifi,MySQL,Client-Server,Unformatted data,14.289435502521403,1.0,No
163,GPS,OpenIntent,Explicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),Wifi,MySQL,Push-based,XML,13.905232583412275,1.0,No
